id	Name	Kredits	Semester	Group	Specialization	Depends on
1	Іноземна мова	6	1,2	1		
2	Українознавство?	7	1	1		
3	Дисципліна філософського блоку	5	2	1		
4	Вища математика	15	1,2	1		
5	Теорія ймовірностей,  ймовірносні процеси та математична статистика	4,5		1		4
6	Дискретна математика	6	1,2	1		
7	Математичні методи дослідження операцій	4		1		6
8	Теорія алгоритмів	3,5		1		6
9	Теорія прийняття рішень	4		1		8
10	Фізика	6		1		4
11	Чисельні методи	3,5		1		4
12	Web-технології та web-дизайн	5		1		14
13	Інтелектуальний аналіз даних	3		1		24
14	Алгоритмізація та програмування	5		1		
15	Економіка та бізнес	3		1		
16	Електротехніка та електроніка	3		1		19
17	Основи графіки	4		1		
18	Комп'ютерна графіка	4,5		1		17
19	Комп'ютерна схемотехніка та архітектура комп'ютерів	3,5		1		
20	Крос-платформне програмування	4		1		14
21	Методи та системи штучного інтелекту	4		1		27
22	Моделювання систем	4		1		6,11,5
23	Об'єктно-орієнтоване програмування	6		2		14
24	Організація баз даних та знань	5		2		23
25	Операційні системи	4		2		
26	Проектування інформаційних систем	4		2		27,22
27	Системний аналіз	4		2		7
28	Технології захисту інформації	4		2		
29	Технології комп'ютерного проектування	4		2		18
30	Технології розподілених систем  та паралельних обчислень	5		1		23
31	Технологія створення програмних продуктів	4		1		23
32	Управління ІТ-проектами	4	8	1		15
33	Вступ до спеціальності	3	1	1		
34	Імітаційне моделювання у проектуванні систем	3		1		22
35	Охорона праці та безпека життєдіяльності	1,5		1		22
36	Дисципліна	5		3		
37	Дисципліна	2		3		
38	Комп'ютерні мережі	5		3		
39	ІТ телекомунікаційних систем	5		3		
40	Сучасні методи інформаційних технологій проектування	5		3		
41	*Аналітика Інтернету, соціальних мереж та бізнес-новин	5		3		
42	Сучасні технології та інструментарії програмування	5		3		
43	*Візуальна аналітика та представлення знань	5		3		
44	Сучасні САЕ/CAD/CAM системи проектування	5		3		
45	*Тестування і оцінка якості інформаційних систем і технологій	5		3		23
46	Інформаційні основи проектування	5	4	3	1	
47	Основи автоматизованого проектування механізмів, деталей і машин	5	5	3	1	
48	Геометричне моделювання в САПР	5	6	3	1	
49	Моделювання данних та маніпулювання ними	5	7	3	1	
50	Сервісна архітектура програмного забезпечення	5	7	3	1	
51	Інформаційні технології реінжиніринга	5	8	3	1	
52	Методи синтезу і аналізу проектних рішень	5	8	3	1	
53	Основи дизайну та графіки	5	4	3	2	
54	Технології інтерактивної вебанімації	5	5	3	2	
55	Засоби та методи дизайну	5	6	3	2	
56	Технології анімації та візуалізації	5	7	3	2	
57	Комп'ютерний дизайн реклами	5	7	3	2	
58	Моделювання текстур та матеріалів	5	8	3	2	
59	Інтегровані комп'ютерні системи	5	8	3	2	
60	Практика проектно-технологічна	4,5	7	1		
61	Практика переддипломна	4,5	8	1		
62	Дипломний проект	9	8	1		32,35
63	Комплексний екзамен за напрямом підготовки	1,5	8	1
